timestamp,current_replicas,predicted_rps,rps_replicas,jvm_floor_bump,recommended_replicas,applied_replicas,action,request_rate_rps,response_time_p95_ms,response_time_max_ms,cpu_usage_percent,jvm_heap_used_bytes,jvm_heap_utilisation,jvm_gc_avg_pause_ms,jvm_gc_pause_count,jvm_threads_live,replica_count
2026-06-12T21:56:49.971154+00:00,1,0.0,1,0,1,1,hold,nan,nan,4999.2675,44.2915,245186336.0,0.2259,nan,nan,172.0,4.0
2026-06-12T21:57:19.974889+00:00,1,0.0,1,0,1,1,hold,0.1333,929.8112,13598.8153,91.5679,119910400.0,0.4467,nan,nan,34.0,1.0
2026-06-12T21:57:49.977776+00:00,1,0.0,1,0,1,1,hold,3.2629,5970.8021,37057.2031,90.3756,74463968.0,0.2774,18.8492,68.6719,34.0,1.0
2026-06-12T21:58:19.982970+00:00,1,0.0,1,0,1,1,hold,12.858,1396.8675,37057.2031,60.3816,65815552.0,0.2452,5.8636,131.9912,34.0,1.0
2026-06-12T21:58:49.983796+00:00,1,0.0,1,0,1,1,hold,16.4694,42.4186,37057.2031,44.9374,114971648.0,0.4283,5.55,120.02,34.0,1.0
2026-06-12T21:59:19.986114+00:00,1,0.0,1,0,1,1,hold,16.0317,16.7685,37057.2031,38.9831,111030784.0,0.4136,4.0,93.9906,34.0,1.0
2026-06-12T21:59:49.988664+00:00,1,0.0,1,0,1,1,hold,15.8677,17.3365,37057.2031,40.904,172097072.0,0.6411,4.2222,90.006,34.0,1.0
2026-06-12T22:00:19.991795+00:00,1,0.0,1,0,1,1,hold,16.2995,16.2949,37057.2031,34.7032,49371144.0,0.1839,3.9184,97.9967,34.0,1.0
2026-06-12T22:00:49.993567+00:00,1,0.0,1,0,1,1,hold,16.6989,44.5994,530.681,39.229,134554112.0,0.5013,3.6591,87.9941,34.0,1.0
2026-06-12T22:01:19.996344+00:00,1,11.594,1,0,1,1,hold,23.6008,78.5422,607.6113,47.651,154405888.0,0.5752,4.6056,142.0047,34.0,1.0
2026-06-12T22:01:50.001510+00:00,1,14.502,1,0,1,1,hold,30.7656,5000.5691,10393.9008,90.7121,367632736.0,0.6848,18.1747,410.6228,84.0,1.0
